Payer;SoldTo;;Division Brand;Division;;Season Year Sub;Sales Document;Sales Document Type;Customer PO;Article MH3 Lifestyle;Article MH1 World;Generic Article;Article Style;Article MH6 Sub Product Group;Article Color Code;Article Color Text;Article Size;Article MH2 Gender;GTIN;Article Program;Commodity Code Vendor;Article Country of Origin;Article Fiber Components;Price Net;Price Wholesale;Price Retail;Season Main;RDD;Cancellation Date;Rejection Reason;Order Qty;Rejected Qty;Total Qty;Confirmed Qty;Retail Value;Weight Net Item;Weight Gross Item
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879C87;ESSENTIAL DOWN JACKET;Jackets;C87;Twilight Navy;12;Boys;8719862887200;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-08-2021;01-11-2021;;3 ;0 ;3 ;3 ;5,997.00 ;2.39 ;2.48 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879C87;ESSENTIAL DOWN JACKET;Jackets;C87;Twilight Navy;12;Boys;8719862887200;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-08-2021;01-11-2021;;2 ;0 ;2 ;2 ;3,998.00 ;1.59 ;1.65 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879C87;ESSENTIAL DOWN JACKET;Jackets;C87;Twilight Navy;14;Boys;8719862887507;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-08-2021;01-11-2021;;3 ;0 ;3 ;3 ;5,997.00 ;2.39 ;2.48 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879C87;ESSENTIAL DOWN JACKET;Jackets;C87;Twilight Navy;14;Boys;8719862887507;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-08-2021;01-11-2021;;2 ;0 ;2 ;2 ;3,998.00 ;1.59 ;1.65 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879C87;ESSENTIAL DOWN JACKET;Jackets;C87;Twilight Navy;16;Boys;8719862887828;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-08-2021;01-11-2021;;3 ;0 ;3 ;3 ;5,997.00 ;2.39 ;2.48 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879C87;ESSENTIAL DOWN JACKET;Jackets;C87;Twilight Navy;16;Boys;8719862887828;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-08-2021;01-11-2021;;2 ;0 ;2 ;2 ;3,998.00 ;1.59 ;1.65 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879C87;ESSENTIAL DOWN JACKET;Jackets;C87;Twilight Navy;8;Boys;8719862886333;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-08-2021;01-11-2021;;1 ;0 ;1 ;1 ;1,999.00 ;0.80 ;0.83 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879C87;ESSENTIAL DOWN JACKET;Jackets;C87;Twilight Navy;8;Boys;8719862886333;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-08-2021;01-11-2021;;1 ;0 ;1 ;1 ;1,999.00 ;0.80 ;0.83 
JUNIOR BARNEKLÆR AS;0000214648;JUNIOR STORO;Tommy Hilfiger;04;TH K;2021_FA;0163434371;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879MRZ;ESSENTIAL DOWN JACKET;Jackets;MRZ;Dark Olive;10;Boys;8720114803077;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-07-2021;01-11-2021;;2 ;0 ;2 ;2 ;3,998.00 ;0.80 ;1.10 
JUNIOR BARNEKLÆR AS;0000214692;JUNIOR SANDVIKA;Tommy Hilfiger;04;TH K;2021_FA;0163434303;Forward Order;TH KIDS FALL 21;HILFIGER FLAG;APPAREL;KB0KB05879MRZ;ESSENTIAL DOWN JACKET;Jackets;MRZ;Dark Olive;10;Boys;8720114803077;##;6201930000;China;RECYCLED POLYESTER (100%);714;714;1999;Summer/Fall;15-07-2021;01-11-2021;;1 ;0 ;1 ;1 ;1,999.00 ;0.40 ;0.55 
